TC_ID,Type,Scenario,Method,URL,Headers,Body,Expected_Status,Expected_Body_Assert,Audit_Label,Audit_Reason
API1-G-01,domain,Happy path full profile update,PUT,/api/users/me,Bearer valid,"{""name"":""Nguyen Van A"",""phone"":""912345678"",""shipping_address"":""123 Le Loi Q1""}",200,message=Profile updated,,
API1-G-02,domain,Update name only,PUT,/api/users/me,Bearer valid,"{""name"":""Test User Updated""}",200,message=Profile updated,,
API1-G-03,domain,Update phone 9 digits valid regex,PUT,/api/users/me,Bearer valid,"{""phone"":""912345678""}",200,message=Profile updated,,
API1-G-04,domain,Update phone 10 digits valid regex,PUT,/api/users/me,Bearer valid,"{""phone"":""9123456789""}",200,message=Profile updated,,
API1-G-05,domain,Phone VN starts with 0,PUT,/api/users/me,Bearer valid,"{""phone"":""0912345678""}",200,message=Profile updated,,
API1-G-06,domain,Phone too short 8 chars,PUT,/api/users/me,Bearer valid,"{""phone"":""91234567""}",400,error,,
API1-G-07,domain,Phone too long 11 chars,PUT,/api/users/me,Bearer valid,"{""phone"":""91234567890""}",400,error,,
API1-G-08,domain,Phone contains letters,PUT,/api/users/me,Bearer valid,"{""phone"":""09abc12345""}",400,error,,
API1-G-09,domain,Empty phone string,PUT,/api/users/me,Bearer valid,"{""phone"":""""}",400,error,,
API1-G-10,domain,Empty name via API bypass,PUT,/api/users/me,Bearer valid,"{""name"":""""}",400,error,,
API1-G-11,domain,Whitespace-only name,PUT,/api/users/me,Bearer valid,"{""name"":""   ""}",400,error,,
API1-G-12,domain,Single char name boundary ON,PUT,/api/users/me,Bearer valid,"{""name"":""A""}",200,message=Profile updated,,
API1-G-13,domain,Normal shipping address,PUT,/api/users/me,Bearer valid,"{""shipping_address"":""123 Duong Le Loi Q1 TP.HCM""}",200,message=Profile updated,,
API1-G-14,domain,Empty shipping address,PUT,/api/users/me,Bearer valid,"{""shipping_address"":""""}",200,message=Profile updated,,
API1-G-15,domain,Very long shipping address 600 chars,PUT,/api/users/me,Bearer valid,"{""shipping_address"":""LONG600""}",200,message=Profile updated,,
API1-G-16,domain,Phone first char ON min 1,PUT,/api/users/me,Bearer valid,"{""phone"":""1912345678""}",200,message=Profile updated,,
API1-G-17,domain,Phone first char IN mid 5,PUT,/api/users/me,Bearer valid,"{""phone"":""5912345678""}",200,message=Profile updated,,
API1-G-18,domain,Phone first char ON max 9,PUT,/api/users/me,Bearer valid,"{""phone"":""9912345678""}",200,message=Profile updated,,
API1-G-19,domain,Empty body object,PUT,/api/users/me,Bearer valid,{},200,message=Profile updated,,
API1-G-20,domain,Unicode name Vietnamese,PUT,/api/users/me,Bearer valid,"{""name"":""Nguyễn Văn An""}",200,message=Profile updated,,
API1-G-21,security,SEC-06 role=admin in body user JWT,PUT,/api/users/me,Bearer valid,"{""name"":""A"",""role"":""admin""}",403,error,,
API1-G-22,security,role=user explicit in body,PUT,/api/users/me,Bearer valid,"{""role"":""user""}",200,message=Profile updated,,
API1-G-23,security,SEC-02 missing Authorization header,PUT,/api/users/me,none,"{""name"":""A""}",401,error=Unauthorized,,
API1-G-24,security,SEC-02 malformed Bearer token,PUT,/api/users/me,Bearer malformed,"{""name"":""A""}",403,error=Forbidden,,
API1-G-25,security,SEC-02 tampered JWT signature,PUT,/api/users/me,Bearer tampered,"{""name"":""A""}",403,error=Forbidden,,
API1-G-26,security,SEC-01 SQLi in name field,PUT,/api/users/me,Bearer valid,"{""name"":""Robert'; DROP TABLE users;--""}",200,message=Profile updated,,
API1-G-27,security,SEC-01 XSS in shipping_address,PUT,/api/users/me,Bearer valid,"{""shipping_address"":""<script>alert(1)</script>""}",200,message=Profile updated,,
API1-G-28,schema,Response contains message key on 200,PUT,/api/users/me,Bearer valid,"{""name"":""Schema Test""}",200,schema:message,,
API1-G-29,schema,GET /api/users/me reflects update,PUT,/api/users/me,Bearer valid,"{""name"":""Reflect Test"",""phone"":""987654321""}",200,verify_get,,
API1-G-30,schema,Response Content-Type application/json,PUT,/api/users/me,Bearer valid,"{""name"":""CT Test""}",200,content-type=json,,
API1-G-31,domain,Phone OUT 13 chars,PUT,/api/users/me,Bearer valid,"{""phone"":""9123456789012""}",400,error,,
API1-G-32,domain,Name very long 1000 chars,PUT,/api/users/me,Bearer valid,"{""name"":""LONG1000""}",200,message=Profile updated,,
API1-G-33,domain,Null-like phone value,PUT,/api/users/me,Bearer valid,"{""phone"":null}",200,message=Profile updated,,
API1-G-34,security,Empty Bearer prefix only,PUT,/api/users/me,Bearer empty,"{""name"":""A""}",401,error=Unauthorized,,
API1-G-35,domain,Numeric name value type coercion,PUT,/api/users/me,Bearer valid,"{""name"":12345}",200,message=Profile updated,,
API1-G-36,domain,Extra unknown fields ignored,PUT,/api/users/me,Bearer valid,"{""name"":""A"",""extra_field"":""hack""}",200,message=Profile updated,,
API1-G-37,security,SEC-02 wrong auth scheme Basic,PUT,/api/users/me,Basic invalid,"{""name"":""A""}",401,error=Unauthorized,,
API1-G-38,domain,Phone missing from body,PUT,/api/users/me,Bearer valid,"{""name"":""No Phone""}",200,message=Profile updated,,
